github.com/AlDanial/cloc v 1.98  T=18.61 s (283.3 files/s, 121630.2 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Python                        4660         315944         546253        1203695
CSS                             22           2942            216          37826
CSV                             35              0              0          37644
Cython                         110           9357           7458          37215
JavaScript                      24           4625           1844          15454
C/C++ Header                    38           1351           2229           9608
Text                           113            511              0           7602
C++                              6            848            466           5698
JSON                            62              0              0           2893
C                                9            274            353           2642
SQL                              4              0              0           1398
Fortran 90                      61            132             97           1007
Meson                           26            129            131            939
YAML                            28              7             30            854
reStructuredText                16            288            305            772
Markdown                        16            159             10            556
Fortran 77                      24             29             55            400
HTML                             1             82             33            386
SVG                              6              0              0            268
PowerShell                       1             49             90            108
Bourne Shell                     2             34             18            104
Fish Shell                       1             13             14             42
INI                              3              5              0             35
Dockerfile                       1              8              1             18
C Shell                          1             10              5             12
Fortran 95                       1              0              1              4
TOML                             1              0              1              2
Unity-Prefab                     1              0              0              2
-------------------------------------------------------------------------------
SUM:                          5273         336797         559610        1367184
-------------------------------------------------------------------------------
